id	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
20163							2			2	2		2	2	
20165							2		2	2	2		2	2	
20167							2			2	2			2	
20169								2		2	2				
20171										2					
20173		1						2			2	2			2
20175						2				2		2			
20177							2	2		2	2		2		
20179									2	2	2				
20181									2	2				2	
20183							2			2	2		2	2	
20185										2	2	2			2
20187										2		2			
20189										2		2			
20191		1			4			2		2	2	2			
20193									2	2					
20195							2			2	2				
20197							2	2		2	2	2	2		
20199										2					
20201										2	2	2	2	2	
20203										2					
20205					4					2	2	2	2		
20207					4	2	2			2			2		
20209					4	2	2	2	2				2	3	
21000			1	2	2	2	2	4		2	2	4	2	2	2
21001							2				2		2		2
21003							2				2	4	2		
21005						2					2	4	2	2	
21007			1			2		4			2	4	2	2	2
21009							2					4	2		
21011				2	2	2					2	4	2	2	
21013					2									2	
21015											2	4		2	
21017			2			2						4			
21019			2		2	2	2					4	2	2	
21021												4	2		
21023						2		4				4	2	2	
21025					2	2	2					2		2	
21027			1		2	2	2	4			2	4	2	2	
21029											2	4			
21031												4	2		
21033								4			2	4		2	
21035						2					2	4		2	
21037											2	4		2	
21039			1			2		4			2	4	2	2	
21041											2	4	2	2	
21043			2		2	2	2			2		4	2	2	
21045						2					2	4	2		
21047												4		2	
21049						2						4	2		
21051				2	2	2	2					2	2	2	
21053							2						2		
21055			1			2		4			2	4	2	2	
21057							2						2		
21059			1				2				2	4		2	
21061					2		2					4	2	2	
21063				2	2	2	2					4	2	2	
21065				2	2	2	2				2	4	2	2	
21067						2						4			
21069			2		2	2	2				2	4	2	2	
21071				2	2	2	2			2		2		2	
21073							2	4			2	4	2	2	
21075											2	4		2	
21077											2	4	2	2	
21079												4	2		
21081						2						4		2	2
21083						2					2	4			
21085					2	2	2	4			2	4	2	2	
21087					2	2	2					4	2	2	
21089			2		2	2						4	2	2	
21091							2	4			2	4	2	2	
21093							2				2	4			
21095					2		2								
21097			2	2		2		4			2	4	2		
21099						2	2					4	2		
21101						2	2				2	4	2	2	
21103							2					4		2	
21105											2	4	2	2	
21107			1			2		4			2	4	2	2	
21109							2					4	2		
21111											2	4			
21113						2						4	2		
21115			2	2	2	2	2					4		2	2
21117											2	4		2	
21119				2	2	2	2			2		2	2	2	
21121					2	2	2							2	
21123							2	4				4	2		2
21125					2		2								2
21127			2	2	2	2	2			2		4		2	2
21129					2	2	2					4	2	2	
21131					2	2	2			2		2	2		
21133				2	2	2	2					2			
21135			2	2		2					2	4	2	2	
21137					2		2					4	2		
21139			1	2		2		4			2	4	2	2	
21141												4	2	2	
21143								4			2	4	2	2	
21145											2	4		2	
21147					2										
21149						2		4			2	4	2	2	
21151												4	2		
21153					2	2	2					4	2	2	2
21155					2							4	2	2	
21157								4			2	4	2	2	
21159					2	2	2					4		2	2
21161				2		2						4	2	2	
21163						2	2				2	4		2	
21165				2	2	2	2					4	2	2	2
21167						2					2	4			
21169							2				2	4	2		
21171						2					2		2	2	
21173						2						4	2		
21175					2	2	2				2	4	2	2	2
21177								4			2	4			
21179							2	4				4	2		
21181			2			2					2	4		2	
21183							2				2	4	2		
21185			2				2				2	4		2	
21187												4	2	2	
21189					2	2	2					2		2	
21191			2			2		4				4		2	2
21193				2	2	2	2			2		2		2	
21195				2	2	2	2			2		2	2		
21197				2	2	2	2					4	2		
21199							2						2		
21201						2						4	2	2	
21203				2	2							4	2		
21205			2	2	2	2	2					4	2		
21207							2					2	2		
21209						2						4			
21211						2	2	4			2	4	2		
21213												4	2		
21215			1			2	2				2	4		2	
21217							2					4	2		
21219								4				4		2	
21221								4			2	4	2	2	
21223											2	2		2	2
21225								4			2	4	2	2	
21227							2					4	2		
21229						2	2				2	4	2	2	
21231					2								2		
21233			1		2	2	2	4			2	4		2	
21235				2	2	2									
21237						2	2					4	2	2	2
21239						2					2	4	2		
22000		2	4	2	2	5	2	2	2		2	2		3	2
22001					2			2			2				2
22003					2			2			2				2
22005				2	2		2	2			2			3	2
22007				2	2		2	2			2			3	2
22009					2		2	2			2			3	2
22011				2	2			2	2		2	2			
22013		2						2			2				
22015		2		4				2			2	2			2
22017		2		4		5		2			2				
22019					2			2	2		2				
22021					2			2	2		2	2			2
22023					2			2			2				2
22025		2						2	2		2	2			2
22027		2	4	4				2			2	2			
22029								2			2			3	2
22031		2						2			2	2			
22033				2	2		2	2			2			3	2
22035		2						2			2			3	
22037				2	2			2			2			2	2
22039					2			2	2		2				2
22041		2						2	2		2	2			2
22043								2	2		2				
22045				2	2			2			2			3	2
22047				2	2			2			2			3	2
22049								2			2				2
22051				2	2		2	2			2			2	2
22053					2			2	2		2				
22055				2	2		2	2			2				2
22057				2	2		2	2			2			2	2
22059					2			2	2		2			3	2
22061		2	4	4				2			2				2
22063				2	2		2	2			2				2
22065								2	2		2			3	
22067		2						2	2		2				2
22069		2			2			2	2		2	2			2
22071				2	2		2	2			2				2
22073		2	4	4	2		2	2			2	2		3	2
22075					2		2	2			2			2	2
22077				2	2			2			2			3	2
22079					2		2	2			2				2
22081								2			2				
22083		2	4					2	2		2				2
22085		2				5		2	2		2				
22087				2	2		2	2			2			2	2
22089				2	2		2	2			2			2	2
22091								2	2		2				2
22093				2	2		2	2			2			3	2
22095				2	2		2	2			2				2
22097					2			2			2			3	2
22099				2	2		2	2			2			3	2
22101				2	2			2			2			3	2
22103				2	2		2	2			2				2
22105				2	2		2	2			2				2
22107								2			2			3	
22109				2	2		2	2			2			3	2
22111		2	4	4				2			2	2			2
22113				2	2			2			2				2
22115					2	5		2	2		2				
22117				2	2		2	2			2				2
22119		2	4	4				2			2	2			
22121					2			2			2			3	2
22123		2	4								2				
22125				2	2			2			2			3	
22127								2	2		2				
23000		2	2	4		4	4	4	2	2	3	2	2	2	
23001		2	2	4		4	4	4		2	2	2			
23003			2	4		4	4	4	4		3			2	
23005		2		4		4	4	4		2	2	2	2		
23007			2	4		4	4	4		2		2		2	
23009				4		4	4	2		3		2	2		
23011		2	2	2		4	4	2		2					
23013								4		3	3	2	2		
23015				4		4		2		2	3	2	2	2	
23017		2	2	4		4	4	4		2		2		2	
23019				4		4	4	4			3				
23021			2	4		4	4	4			3	2		2	
23023				4						2		2	2		
23025		2	2	4			4	4		2	3	2			
23027							2	2		2	3	2			
23029			2	4		4	4	2		2		2		2	
23031				4				4	2	2	2	2	2	2	
24000		2	2		1	2		2	2				4	2	2
24001						2							4		
24003		2	2			2							4	2	
24005			2			2							4	2	
24009		2	2		1	2							4	2	2
24011		2	2			2			2				4	2	
24013						2							4	2	
24015		2				2							4	2	
24017		2	2		1	2							4	2	2
24019			2			2			2				4	2	
24021			2			2							4	2	
24023						2							4		
24025		2				2		2					4	2	
24027			2			2		2					4	3	
24029		2	2			2							4	2	2
24031			2			2		2	2				4	2	2
24033			2			2		2					4	3	2
24035		2	2			2							4	2	
24037		2	2			2							4	2	
24039		2				2								2	
24041		2	2			2							4	2	
24043						2							4		
24045						2							4	2	
24047						2								2	
24510			2			2		2					4	2	2
25000		0		4		4	4	4	2	2		4	2	2	2
25001						4	4	4		2			2	2	
25003				4		4	4	4		2		4		2	2
25005						4	4	4					2	2	
25007						4		4		2			2	2	
25009				4		4	4	4	2	2		4	2	4	2
25011				4		4	4	4		2		4		2	2
25013						4	4	4		2		4		4	2
25015				4		4	4	4		2		4		4	2
25017				4		4	4	4	2			4	2	4	2
25019						4		4					2	2	
25021				4		4	4	4					2	4	
25023						4	4	4		2			2	2	
25025						4	4	4					2	4	
25027		0		4		4	4	4				4	2	2	2
26000		4		4	3	5		2			2				
26001		4													
